Date,Open,High,Low,Close,Adj Close,Volume
2020-02-05,169.130005,169.350006,168.169998,169.210007,166.250580,4133700
2020-02-06,169.759995,169.830002,169.190002,169.679993,166.712341,2202300
2020-02-07,169.050003,169.399994,168.410004,168.710007,165.759308,2579200
2020-02-10,168.279999,169.949997,168.259995,169.949997,166.977631,2494100
2020-02-11,170.740005,171.250000,170.110001,170.419998,167.439423,2921700
2020-02-12,171.240005,171.550003,170.910004,171.490005,168.490692,2154100
2020-02-13,170.699997,171.929993,170.550003,171.419998,168.421936,2827500
2020-02-14,171.600006,171.770004,170.979996,171.699997,168.697037,2527800
2020-02-18,171.270004,171.539993,170.529999,171.300003,168.304031,2459400
2020-02-19,171.919998,172.559998,171.770004,172.169998,169.158813,2488100
2020-02-20,171.960007,172.429993,169.899994,171.649994,168.647903,7061600
2020-02-21,170.949997,171.029999,169.399994,169.889999,166.918701,2983500
2020-02-24,164.500000,165.869995,163.589996,164.300003,161.426453,8710900
2020-02-25,165.039993,165.389999,158.770004,159.279999,156.494263,10112300
2020-02-26,160.009995,161.809998,158.000000,158.399994,155.629654,8210300
2020-02-27,155.039993,157.529999,151.399994,151.460007,148.811020,14384200
2020-02-28,146.419998,150.589996,145.300003,150.440002,147.808868,22283300
2020-03-02,151.410004,156.820007,149.580002,156.669998,153.929901,12071600
2020-03-03,157.339996,159.300003,151.080002,152.630005,149.960556,8623100
2020-03-04,155.520004,158.750000,154.050003,158.729996,155.953873,5226600
2020-03-05,154.809998,156.360001,152.110001,153.440002,150.756393,5343100
2020-03-06,148.979996,151.339996,147.119995,150.589996,147.956223,9947700
2020-03-09,140.000000,143.630005,138.240005,138.500000,136.077682,18537100
2020-03-10,144.350006,145.410004,137.899994,145.369995,142.827515,11693300
2020-03-11,141.449997,142.199997,136.300003,138.009995,135.596252,10760200
2020-03-12,129.179993,133.669998,124.410004,124.589996,122.410965,20969500
2020-03-13,132.000000,135.929993,125.000000,135.929993,133.552628,15351600
2020-03-16,121.059998,127.989998,120.000000,120.459999,118.353203,14652900
2020-03-17,122.209999,127.370003,118.000000,126.500000,124.287560,16645800
2020-03-18,118.500000,122.360001,113.000000,119.209999,117.125061,15388000
2020-03-19,117.410004,122.800003,114.589996,120.089996,117.989670,11083500
2020-03-20,121.150002,122.660004,114.800003,115.190002,113.175369,12264900
2020-03-23,113.650002,114.900002,109.489998,111.910004,109.952744,16443000
2020-03-24,117.629997,122.580002,117.000000,122.529999,120.386993,10986900
2020-03-25,123.540001,129.029999,120.589996,124.220001,122.047447,14428100
2020-03-26,124.839996,131.630005,124.660004,131.110001,129.456802,10549100
2020-03-27,127.120003,130.509995,125.510002,126.930000,125.329529,9731500
2020-03-30,127.779999,131.169998,126.639999,130.779999,129.130981,10416300
2020-03-31,130.970001,131.610001,128.020004,128.910004,127.284569,8662400
2020-04-01,124.129997,125.620003,121.769997,122.959999,121.409584,7911500
2020-04-02,122.379997,126.129997,122.019997,125.519997,123.937302,6244300
2020-04-03,124.849998,126.040001,121.860001,123.379997,121.824280,6584400
2020-04-06,128.429993,132.800003,127.779999,132.009995,130.345459,9369400
2020-04-07,137.020004,137.279999,132.080002,132.160004,130.493591,10469900
2020-04-08,133.729996,137.449997,132.419998,136.800003,135.075089,6610400
2020-04-09,138.919998,140.779999,137.809998,139.360001,137.602798,9315700
2020-04-13,138.750000,140.059998,135.630005,137.699997,135.963715,7291600
2020-04-14,140.589996,142.210007,139.970001,141.880005,140.091034,5609300
2020-04-15,138.740005,139.490005,137.429993,138.550003,136.803024,5164100
2020-04-16,139.270004,139.550003,137.429993,139.199997,137.444809,5301200
2020-04-17,142.710007,143.479996,141.080002,143.139999,141.335129,6411200
2020-04-20,141.000000,143.050003,140.509995,140.820007,139.044403,5414000
2020-04-21,138.100006,138.979996,135.869995,136.449997,134.729477,6367500
2020-04-22,139.259995,140.300003,138.360001,139.529999,137.770645,6342900
2020-04-23,140.220001,141.979996,139.440002,139.550003,137.790390,6198300
2020-04-24,140.500000,141.970001,139.259995,141.630005,139.844177,4407500
2020-04-27,142.649994,144.660004,141.000000,144.139999,142.322525,4968200
2020-04-28,146.169998,146.479996,143.369995,143.690002,141.878204,3594500
2020-04-29,146.809998,148.539993,146.029999,147.759995,145.896881,4990900
2020-04-30,146.779999,147.050003,145.119995,145.839996,144.001099,4228800
2020-05-01,143.119995,143.600006,139.800003,141.809998,140.021896,4232500
2020-05-04,140.669998,142.449997,139.910004,142.350006,140.555099,4741200
2020-05-05,144.080002,145.339996,143.460007,143.669998,141.858444,3665900
2020-05-06,144.610001,144.869995,142.699997,142.880005,141.078400,3927300
2020-05-07,144.699997,145.759995,144.399994,144.750000,142.924835,3796300
2020-05-08,146.449997,147.630005,145.880005,147.470001,145.610535,4251200
2020-05-11,146.220001,148.210007,146.029999,147.490005,145.630295,4240900
2020-05-12,148.080002,148.309998,144.199997,144.350006,142.529892,4864400
2020-05-13,143.899994,144.309998,140.020004,141.449997,139.666443,5862100
2020-05-14,139.850006,143.089996,138.369995,142.970001,141.167282,7561000
2020-05-15,141.770004,143.860001,141.190002,143.830002,142.016434,3845600
2020-05-18,147.529999,149.410004,147.250000,148.600006,146.726303,4558800
2020-05-19,148.360001,149.300003,147.020004,147.020004,145.166214,3180900
2020-05-20,149.169998,150.190002,148.910004,149.740005,147.851913,3894000
2020-05-21,149.600006,150.130005,148.020004,148.839996,146.963257,3419200
2020-05-22,148.759995,149.279999,147.970001,149.259995,147.377960,3003000
2020-05-26,152.839996,152.889999,151.110001,151.339996,149.431732,4197500
2020-05-27,153.000000,153.729996,150.020004,153.729996,151.791595,5077700
2020-05-28,154.410004,155.190002,152.729996,153.199997,151.268280,4601500
2020-05-29,152.800003,154.130005,151.410004,153.710007,151.771866,4777100
2020-06-01,153.619995,155.089996,153.270004,154.750000,152.798752,3478900
2020-06-02,155.199997,156.000000,154.429993,155.919998,153.953995,4157200
2020-06-03,157.199997,158.800003,157.009995,158.350006,156.353363,9496400
2020-06-04,157.710007,158.649994,156.619995,157.850006,155.859665,5629200
2020-06-05,161.399994,163.080002,161.000000,161.899994,159.858582,4373400
2020-06-08,162.899994,164.199997,162.320007,164.100006,162.030853,5851300
2020-06-09,162.649994,163.479996,161.880005,162.600006,160.549774,3200400
2020-06-10,162.809998,163.250000,161.009995,161.389999,159.355011,4292900
2020-06-11,156.910004,157.699997,151.630005,151.869995,149.955048,12504600
2020-06-12,156.490005,156.490005,150.830002,153.970001,152.028580,6881600
2020-06-15,150.559998,156.160004,149.850006,155.619995,153.657761,4859200
